puuid,region,league,summoner_name,matches,wins,kills,deaths,assists,losses,winrate,matches_month,kda,leaguePoints
-KAkN0YCgiAadt98qJUZmu9dnMb-4noDadUwpsLMnP43sv-fLVcI7joQa_2Kp9k9lGQACv4QsjfpRA,na,master,,1,0,1.0,3.0,0.0,1,0.0,1,0.3333333333333333,
-KKZFfNQW4HaJu7Q-4nlefZ4u14w6JtdiTYRj6O1yoSRn3N5r2hCGmSRG-fLTGeZ1nEaYSye3p9CQA,na,master,,1,1,4.0,0.0,6.0,0,1.0,1,10.0,
-Kafihp3R95LcYoA1oCHILkpKrGsTlwVLG4q4L6GwmuM4dzXYvKlu4lQV3oEHdY_1q8X4lHfyboMdg,na,grandmaster,,1,0,3.0,1.0,0.0,1,0.0,1,3.0,
-KfSiAVIBmKoEQYDlrTlgNiOLZ_VbiO2Bf0-AHIxlj38wcF5lDhRkB6LITYtUkKIqZruCzMrIDQf-g,euw,challenger,,1,0,2.0,5.0,19.0,1,0.0,1,4.2,
-KzlbfECWHGRP6swFgE8q2f_1uzetv4hTquHjyQXQViFsooN3Qh2YkLIUnRz9e3s32HrekJiK_nurQ,na,master,,1,0,3.0,6.0,5.0,1,0.0,1,1.3333333333333333,
-LOy6BOCWeE5lcBCq4p0DqqXeUmwjS2VuwjUrlXEAKzOtWjtFdD34Q5ZqHA3AMxxIsIRq1Vc5UMWyg,na,grandmaster,,1,1,10.0,3.0,9.0,0,1.0,1,6.333333333333333,
-LW06cqLNvBKqKpPdfwMMz0y-OxV3_wUdDsl9B2niRWTEPvFXFgDt7a1qPBw0vaY-aO4Z1FIAezOuA,na,master,,1,1,2.0,5.0,22.0,0,1.0,1,4.8,
-Mi4SBa_2WJWVarUy2RL0IXj9-QPpT55H2kuoylGSXCTyPfoZsrhva5BP7SuO9f5U9QuEBzI9xXGEQ,na,grandmaster,,1,1,4.0,19.0,32.0,0,1.0,1,1.894736842105263,
-Mmue6lEQIsi4apYRk4GB0a8DGBZCMI5kjjfukHztSUpFpQVinB0Xyn9qbtDDTX9_t8WIrQJKpwn0w,na,challenger,,6,1,4.833333333333333,4.5,4.666666666666667,5,0.1666666666666666,6,2.111111111111111,1391.0
-Mz1OQh6vyFHb1IW6LbG4z7fg2kbULZfoCIo9kGOPQCf2qiSP51O9UkEmg0Wc4C_lhC5c3fxNUxu9g,euw,grandmaster,,1,1,0.0,0.0,13.0,0,1.0,1,13.0,
-NbA6CExM9ceB3E0n_8hV4i2aoPYIp67qqCuMfkniYPLX8NirRXCKdQGgbyXXNlekhGppst8yQuVRA,na,challenger,,5,5,8.0,3.4,9.6,0,1.0,5,5.176470588235294,
-O6j42mIezkI1pGcvZ2RREip6vlJtHOJ7LOuLLHoxYig4VB2wgx9VbVxA62QbrwapOj5K_uf8iLc7w,euw,grandmaster,,4,1,8.25,5.5,7.25,3,0.25,4,2.8181818181818183,
-OjvrRtxlo4NrFdoWLaJ0V9g5qKVXXu47Y2H1N12Y9YV501Dx-rs_2aUJft-6ATStHvglHTgQxP7Og,euw,grandmaster,,1,1,7.0,6.0,22.0,0,1.0,1,4.833333333333333,
-OsDeJ5pyWhhAcV-D6k1-jRAGikxvLXJ0j-TecNbf991loX_Eys4ozVwO4zW-0QUJlVPMJ-EaMUvxw,na,challenger,,2,2,13.0,3.0,11.5,0,1.0,2,8.166666666666666,
-OvKN7gyISc0llK4UrlbQrXJE-wKPt6EOgNNi2IN3ViYWYqUbl395kflukPvOhRlToSwLaiAAs53UA,na,challenger,,4,4,6.25,6.5,14.25,0,1.0,4,3.1538461538461537,1579.0
-PV1cGJs1q3JAJZsyufexXDu7aIt6g3PApXWT5TjUYpsfRwk8MxmKwzfx0Kg6OZyH9mlLd8Lm8rDQw,euw,grandmaster,,1,0,2.0,6.0,6.0,1,0.0,1,1.3333333333333333,
-PitfijzroFNXxIy575efc00m1c6SGjWNLEf5HtgRIcJkKNjlKd4EvkpK-O1PWc9gTZZMY1THYgLKQ,na,challenger,,3,1,1.3333333333333333,2.333333333333333,3.6666666666666665,2,0.3333333333333333,5,2.142857142857143,
-Q6e74kYG42vOeWGt-fBev3PG1Ts2D8_8jj9xiLynhUHcAdmrB4bs52Cq5JGGeRfydKO3EuX7mLMTQ,na,challenger,,1,0,2.0,5.0,0.0,1,0.0,1,0.4,
-QWITi3DsFUeM-kMkBbtHtCgfJgfSIJXrmrpCLa0ZylRVpcxYnLS3zJECe_LE1TXPO197DsFqKIMrQ,euw,grandmaster,,1,0,2.0,8.0,9.0,1,0.0,1,1.375,
-QlKJgA-TS1vc7FvWVj4si5VyGj7qCc4r8RCH-UqVFQDWuvAR30X1jcPvkZg5yy7sJfFgyloBJirlA,euw,master,,1,1,7.0,0.0,7.0,0,1.0,1,14.0,
-QtrRY54gjYZp8a7OJ2Svyk1YYHj1gs6AokjPjr4YDG-h62zx2-TrgkoHO4i_4thHEU5E1-2-mfUQg,na,grandmaster,,1,0,6.0,9.0,10.0,1,0.0,1,1.7777777777777777,
-RDwLCaoh_7-cadX6TNK0ubh5mTECa0SZTzHRZyOfcKPvOWhat1ADvdMooO1C30XfhQAl3hoebhhTQ,na,master,,1,1,0.0,6.0,20.0,0,1.0,1,3.333333333333333,
-RgQVTa1BN42rcXPOBpeaZ7h4yixjkoZC_SYo8FwJkme5DpLyNFLS4elw3iMXDC4jjZ6NKS_3ew9JQ,na,challenger,,2,0,3.0,8.0,4.5,2,0.0,2,0.9375,
-RhBDwWOmg_gvWTWMZlPegcLxht0clFULy7ZLl561lEA_l5ka-35OYP_He4pds-_0YCwUoet32tg2Q,na,grandmaster,,1,0,4.0,6.0,4.0,1,0.0,1,1.3333333333333333,
-RjkT8H-03jbJu_mADvdHAxtEWJQj6LNATYZqp8530ERSqi8jerOWGmgeTZZ0UmPJ79NWC1GRzoH-w,na,challenger,,4,2,3.0,6.5,20.25,2,0.5,6,3.576923076923077,1102.0
-RjnS_botDo0j3BMFJ6SuG2BpY6MDEJ49XmLHqVy8nQVVr-fc4fPQr6h5Wv_MomSAYDrFft04zGvNA,euw,challenger,,11,7,2.727272727272727,3.8181818181818175,12.545454545454543,4,0.6363636363636364,15,4.0,2283.0
-Rjp4yXf4Mgkj0IFdvKv2vqyFQT98w3i2O-s923x4xkjdvjEe_gGcjTS6ZyYAltYUq42n5-EOXEVfw,euw,challenger,,8,4,4.875,7.5,8.0,4,0.5,12,1.7166666666666666,2142.0
-Rklh5YgH-0PmXRPDG-VDS5CfDJdNzoZUi7xVzV6Y5z9q-xG2jqNGdq_PC9zDFARPrJ9kebjZ_mJIg,na,grandmaster,,1,1,13.0,11.0,15.0,0,1.0,1,2.5454545454545454,
-SdIh--Xfe539mL9LpNjCZu3sddy6decL-E2EKzfSdB111EBnYxR9chO86d7ZsvFMy3rRAoLmshReA,euw,grandmaster,,1,0,8.0,5.0,4.0,1,0.0,2,2.4,
-TiI2SBMUasSydFtjlNWgZed1SnV_kckYeJdqjP0sEAv2o4_yqS03kvTe3rQN308Gkor_xsMGWAcrQ,na,grandmaster,,1,1,10.0,8.0,8.0,0,1.0,1,2.25,
-U9h3iz79SMZoJxHacn8uQGUmGml_QI1SAZOumvqt7hPjenh0Hw8o6WzfApFpzKYWUYIkFFNwAJGAA,na,master,,1,1,0.0,9.0,11.0,0,1.0,1,1.2222222222222223,
-UBRn00ApXzI15cPh6H8YYyYYCOudn5tDyt8bIeSQ17QQOZ6kb7kmK6Hjd793K8oECY8w4kkuEyecw,euw,master,,1,1,2.0,6.0,8.0,0,1.0,1,1.6666666666666667,
-URI9Je9fVWyXuD1Ulu6CkI2nP702swHf7Qud5IeBy7Yl-eQlV7EYM53OZ05m7m8b0gSVuZILIseeg,euw,master,,1,0,0.0,8.0,18.0,1,0.0,1,2.25,
-UoNfXwSlsv3vkrTpyEyVzgudNVD5pF_3lg4kFX-4JdIlDmjeJO6VFVF0xk8EZvZUFpKuKX7wGhdBw,euw,grandmaster,,1,1,5.0,0.0,7.0,0,1.0,1,12.0,
-VFZ6gwMkSRx8alVwVwFbBJOAeA4f-2hsQdkMbQX9nZ0zzp1v9zhPEl1eu3U5JiI5I0M-yxHEadCYQ,euw,master,,1,1,16.0,7.0,14.0,0,1.0,1,4.285714285714286,
-VFZjT1S5_2ZuRgUc7HgIKOqOJ1szgsqbtuJU1yFgdruYfqEQeyRZoshr_ENcq0EGMsubuQ7f0dOYQ,na,challenger,,4,3,1.25,6.25,19.0,1,0.75,4,3.24,
-VNWErzpd34W--RrZkZP9blQAHVyW5xLiX8vZoo_UcSundpib4Bps-m4RSkgFfvCIvkZPSJjj8xsCw,na,challenger,,1,1,0.0,2.0,0.0,0,1.0,1,0.0,
-VSbDaybyAC4KYRjscH9AE1sYUD80Qh0dkU9_bmu-SAAPtzCCIwUmb4AJiNLg75mvJm0m17OByeZZA,na,challenger,,1,1,0.0,11.0,20.0,0,1.0,1,1.818181818181818,
-WBhNIFJ5vi1XP16Est46HtL_xf3cA-sF7Cy8snvxfhbviM9EzIcwXPf_8k3_Mzh6w47coaWWw37Eg,na,grandmaster,,1,1,4.0,3.0,8.0,0,1.0,1,4.0,
-WCPOiwL4notN1v0K-zcmlKUghDmbzZHLrwrqjb4gK5lsb7RDsYcfDT8YdFjvZgbXKcJndlJlBaJZg,na,master,,1,1,6.0,10.0,11.0,0,1.0,1,1.7,
-Wgjt4Bvlsi0dNv0pjHydc3kl_VAIvGDvBgtfUn4uMZ-VgKZnYSxiqzUbwyJjk5_Pwr24zZuXhaCWA,na,master,,1,0,3.0,6.0,1.0,1,0.0,1,0.6666666666666666,
-WmA84Fpy3QYyxGXUSJPebM9VJOaCvqUzaPZ0qlvWJ8GEmZHVsIoANDjij1DWwAMxsy7_7XFl7NXOg,na,challenger,,2,0,1.5,6.5,2.5,2,0.0,2,0.6153846153846154,
-XTPyX5iUL_ksfsmHoIXylXQhw1a-jGUqUEX38WWG7JS91CL9SgqRaQ-PGEuGgZxvS9WiBLsCZgtog,na,challenger,,1,1,17.0,7.0,8.0,0,1.0,1,3.571428571428572,
-YMlAjbsSVOKlzSnZCgV2sF0Z73ghUL-62XsRHQLI3lWZpHoiLOh1UNKIV-J4zgRA634Ar-6cEoqGQ,na,master,,1,0,7.0,6.0,7.0,1,0.0,1,2.333333333333333,
-YW50foVpMl_ihiPfCX94O1hu7mu_49v7kOPaAcd3gRKLOdfK4IhmSSv_-R82K0ekBH7Csr5hnnwyQ,na,challenger,,2,0,4.5,8.5,9.0,2,0.0,2,1.588235294117647,
-YdVbBhM6izoBjSRJj671lKQkVIE92q28s9wLv5nCDjbI5poGEIb4uFEVzF-S5x8zS1a4L6f5avu3g,na,master,,1,0,7.0,9.0,3.0,1,0.0,1,1.1111111111111112,
-YrDw7yxsgx6Ey6iQv7L4fj_gNvBWG8Ciif06VHO6tIo_O5KJu_9fgE6YNWXNgfCjQnkQ-YRNzxkSA,na,challenger,,7,4,7.571428571428571,4.0,5.0,3,0.5714285714285714,12,3.142857142857143,1771.0
-YtC0yxVq15u3XYXlA9K_JXyiGUqAPe4SD94UNy4fY5K_qYnFIk2CvvuA24YiilZRiJW1vMHcspUSw,na,master,,1,1,12.0,2.0,8.0,0,1.0,1,10.0,
-_LDi_zdnNWVdS8ewQkpZdcGjZ5qHcVQiIdseng5BohMyaAin_ORtK9H2g5IQGddXGJ9B55LNQj7EA,euw,master,,1,0,11.0,8.0,1.0,1,0.0,1,1.5,
-aOegv8x5UfHzev1c2A39nfkmY-o9esNyO7ZozKMDlUYxiq11J9m4VpytlPr2V8VNPznWGO3zkd84w,na,grandmaster,,1,1,15.0,10.0,14.0,0,1.0,1,2.9,
-bJAvP3srnYIjsmy7ppD3_Zb0yv2Zndv8rW297ZPLNWV_xBcuTjFNiVfvrz86sNgFtF8qSjSiVBCaA,na,challenger,,1,0,0.0,4.0,3.0,1,0.0,1,0.75,
-cbvN9XieXjk32cP5N-RJZ04QUVUZl_o6Q9WtDJFwqW2-4eNW1bSWZHQBCnmWyEWsJUUje5PfuVspw,na,challenger,,2,1,4.5,1.0,7.0,1,0.5,2,11.5,
-chKfwkB5_EfMMzWfrN-wW-p4eiPQgBJHHMkNis-OEKhF78TLHyiObuhnrb9_9C9xf3VaSOnhg7ntA,na,challenger,,4,2,9.75,8.75,9.5,2,0.5,6,2.2,
-d34nbzpi6hRMPXn290mbPKgwo7lT6nJ40uq8FF9n7bRmMgS23P4RMLDKAKTmlEga8OLELPOpmNHwg,na,challenger,,1,1,6.0,7.0,29.0,0,1.0,1,5.0,
-djpjrF6QhhIX0Mh_0r5wM4vXLN-cgh7kFcCL_iZqoezBa5GxFps66jdrsaWYkmTAnZDSzTCPA2V3w,euw,challenger,,5,4,2.2,4.8,17.4,1,0.8,7,4.083333333333333,
-dqeVEcOStmcBGBr_dMicPI9uFs5rpgW_JBY6aKPtHFHL3kb4TiC9Nc9ig4_CzqylBuan08zuDeLDg,na,challenger,,4,2,2.5,3.75,4.0,2,0.5,4,1.7333333333333334,
-earUpHRiYVLEgmHGJ34C4iTtlq3t6WY4Jz_lrlzqWEoy3P_lWzmtquvsuQMDq8uh76mUMkrr-BBjw,euw,master,,1,1,9.0,3.0,3.0,0,1.0,1,4.0,
